team,city,abbreviation,division,league,ballpark
Angels,Los Angeles,LAA,West,AL,Angel Statdium
Rangers,Texas,TEX,West,AL,Globe Life Field
Astros,Houston,HOU,West,AL,Minute Maid Park
Athletics,Las Vegas,OAK,West,AL,Sutter Health Park
Mariners,Seattle,SEA,West,AL,T-Mobile Park
Twins,Minnesota,MIN,Central,AL,Target Field
Guardians,Cleveland,CLE,Central,AL,Progressive Field
Tigers,Detroit,DET,Central,AL,Comerica Park
White Sox,Chicago,CHI,Central,AL,Gauranteed Rate Field
Royals,Kansas City,KC,Central,AL,Kauffman Stadium
Yankees,New York,NYY,East,AL,Yankee Stadium
Red Sox,Boston,BOS,East,AL,Fenway Park
Blue Jays,Toronto,TOR,East,AL,Rogers Centre
Orioles,Baltimore,BAL,East,AL,Camden Yards
Rays,Tampa Bay,TBR,East,AL,George M. Steinbrenner Field1
Dodgers,Los Angeles,LAD,West,NL,Dodger Stadium
Padres,San Diego,SDP,West,NL,Petco Park
Giants,San Fransisco,SF,West,NL,Oracle Park
Diamondbacks,Arizona,ARI,West,NL,Chase Field
Rockies,Colorado,COL,West,NL,Coors Field
Cardinals,St. Louis,STL,Central,NL,Busch Stadium
Cubs,Chicago,CHI,Central,NL,Wrigley Field
Brewers,Milwaukee,MIL,Central,NL,American Family Field
Pirates,Pittsburgh,PIT,Central,NL,PNC Park
Reds,Cincinnati,CIN,Central,NL,Great American Ball Park
Braves,Atlanta,ATL,East,NL,Truist Park
Phillies,Philadelphia,PHI,East,NL,Citizens Bank Park
Mets,New York,NYM,East,NL,Citi Field
Nationals,Washington,WAS,East,NL,Nationals Park
Marlins,Miami,MIA,East,NL,LoanDepot Park
